Link Vaga,Link Empresa,Cargo,Nome Empresa,Local,Tempo de Abertura,Status
https://br.linkedin.com/jobs/view/senior-data-analyst-at-didi-3606219286?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=Cwvbu%2B9j59yQ3fPe2fAOmw%3D%3D&position=5&pageNum=9&trk=public_jobs_jserp-result_search-card,https://cn.linkedin.com/company/didiglobal?trk=public_jobs_jserp-result_job-search-card-subtitle,Senior Data Analyst,DiDi,São Paulo e Região,Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-tgroup-3591794982?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=AHeAlzumo58EvqwnEF7ehg%3D%3D&position=6&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/t-group-brasil?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de Dados,TGroup,"São Paulo, SP",Há 1 mês,
https://br.linkedin.com/jobs/view/data-analyst-mandarin-speaker-at-shein-3541955785?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=ldBZqEVdKdu2%2FJmb1mLk2Q%3D%3D&position=7&pageNum=9&trk=public_jobs_jserp-result_search-card,https://sg.linkedin.com/company/shein?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Analyst (Mandarin Speaker),SHEIN,"São Paulo, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/engenheiro-de-dados-hibrido-sp-at-foursys-3620813041?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=XPzPdvd9ZTTumUW7OI1tSA%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/foursys?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de dados - hibrido - sp,Foursys,"Barueri, SP",Há 1 dia,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-de-relacionamento-at-guiando-3603429407?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=5TrqLuXQIgW3d%2FZef3b6RA%3D%3D&position=9&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/guiandotecnologia?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Relacionamento,Guiando,"São Paulo, SP",Há 3 semanas,
https://br.linkedin.com/jobs/view/2023-032-analista-de-solu%C3%A7%C3%B5es-tecnol%C3%B3gicas-i-ii-at-atech-%E2%80%93-neg%C3%B3cios-em-tecnologias-s-a-3612923539?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=K8XwaXDOKYGTuZFVZ8PqFQ%3D%3D&position=10&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/atech-grupoembraer?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-032  Analista de Soluções Tecnológicas I / II,ATECH – NEGÓCIOS EM TECNOLOGIAS S/A,"São Paulo, SP",Há 2 semanas,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-de-mis-planejamento-at-aec-3619777722?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=hDQ1fD3vrUXft5yjf%2B9OYA%3D%3D&position=11&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/aec?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de MIS (PLANEJAMENTO),AeC,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-microbiol%C3%B3gico-pl-at-marjan-farma-3582003222?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=31IpL52aS6S0IiO6oCsNeA%3D%3D&position=12&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/marjan-farma?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista Microbiológico Pl,Marjan Farma,"São Paulo, SP",Há 2 meses,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-suporte-at-rhf-talentos-bertioga-sp-3612628746?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=2di7ei3bqGCcEOSRHkmP9Q%3D%3D&position=13&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/rhfbertiogasp?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Suporte,RHF Talentos - Bertioga - SP,"São Paulo, SP",Há 2 semanas,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/business-intelligence-core-data-coordinator-at-iqvia-3604732952?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=%2BK7TmlGtOOcSta8kgXFxGg%3D%3D&position=14&pageNum=9&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/iqvia?trk=public_jobs_jserp-result_job-search-card-subtitle,Business Intelligence & Core Data Coordinator,IQVIA,"São Paulo, SP",Há 1 mês,Contratando agora
https://br.linkedin.com/jobs/view/mapping-data-analyst-at-cognizant-3610602148?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=rd6ydRwReEei%2BBZKDJoJFQ%3D%3D&position=15&pageNum=9&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/cognizant?trk=public_jobs_jserp-result_job-search-card-subtitle,Mapping Data Analyst,Cognizant,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/analista-ou-assistente-de-atendimento-perus-at-blitz-rh-3595298587?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=1nrvOvJ8KFbLGd62MtQwwQ%3D%3D&position=16&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/jobs/view/analista-ou-assistente-de-atendimento-perus-at-blitz-rh-3595298587?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=1nrvOvJ8KFbLGd62MtQwwQ%3D%3D&position=16&pageNum=9&trk=public_jobs_jserp-result_search-card,Analista Ou Assistente De Atendimento - Perus,BLITZ RH,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/data-engineer-at-iff-3624846052?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=ZXW1G2ztKmvoC4hc3iQHCA%3D%3D&position=17&pageNum=9&trk=public_jobs_jserp-result_search-card,https://www.linkedin.com/company/iff?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Engineer,IFF,São Paulo e Região,Há 1 dia,Contratando agora
https://br.linkedin.com/jobs/view/database-engineer-at-recargapay-3590311710?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=Cgt9gchuHO2kQ37eq0rTBg%3D%3D&position=18&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/recargapay?trk=public_jobs_jserp-result_job-search-card-subtitle,Database Engineer,RecargaPay,"São Paulo, SP",Há 2 meses,Contratando agora
https://br.linkedin.com/jobs/view/engenheiro-de-dados-pleno-s%C3%AAnior-at-softtek-3612095638?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=mowlpHlGc%2BBavZy388aLjA%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card,https://mx.linkedin.com/company/softtek?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de Dados Pleno/Sênior,Softtek,"São Paulo, SP",Há 1 semana,Contratando agora
https://br.linkedin.com/jobs/view/data-senior-analyst-payments-fraud-prevention-at-shopee-3611208072?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=IdkrhApI%2FzKR2mhEnOgvOA%3D%3D&position=20&pageNum=9&trk=public_jobs_jserp-result_search-card,https://sg.linkedin.com/company/shopee?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Senior Analyst (Payments Fraud Prevention),Shopee,"São Paulo, SP",Há 1 mês,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/assistente-de-frotas-at-bureau-veritas-group-3607875158?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=bULuF9foTjFZVUma2RwJuA%3D%3D&position=21&pageNum=9&trk=public_jobs_jserp-result_search-card,https://fr.linkedin.com/company/bureau-veritas-group?trk=public_jobs_jserp-result_job-search-card-subtitle,Assistente de Frotas,Bureau Veritas Group,"São Paulo, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/data-team-leader-ii-engenharia-de-dados-at-falconi-3597400701?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=DVoIaYNLOSGZ6ZRjU9AqYA%3D%3D&position=22&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/falconi-oficial?trk=public_jobs_jserp-result_job-search-card-subtitle,Data Team Leader II - Engenharia de Dados,Falconi,"São Paulo, SP",Há 4 dias,Contratando agora
https://br.linkedin.com/jobs/view/analista-de-engenharia-de-dados-dados-jr-pcd-at-gruposc-distribuidora-de-medicamentos-3614707806?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=xnrROOOveXc20lOT9A6GPA%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/gruposc-distribui%C3%A7%C3%A3o-de-medicamentos?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista de Engenharia de Dados Dados Jr. (PCD),GrupoSC Distribuidora de Medicamentos,"São Paulo, SP",Há 1 semana,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/analista-suporte-redes-pl-at-vivo-vita-3554220919?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=0RUL2VkVWY29JGPHvyeqqA%3D%3D&position=24&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/vita-it?trk=public_jobs_jserp-result_job-search-card-subtitle,Analista Suporte Redes PL,Vivo Vita,"São Paulo, SP",Há 1 mês,
https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-optima-ps2-solutions-3606838362?refId=quALCPVD0cHt%2BdrFSFTirQ%3D%3D&trackingId=seZ%2BMfnw1fxiv4vKJWSPOQ%3D%3D&position=25&pageNum=9&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/ps2-optima-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de dados,Optima PS2 Solutions,"Cotia, SP",Há 2 semanas,Contratando agora
https://br.linkedin.com/jobs/view/2023-033-analista-de-solu%C3%A7%C3%B5es-tecnol%C3%B3gicas-i-ii-ipms-at-atech-%E2%80%93-neg%C3%B3cios-em-tecnologias-s-a-3612924472?refId=owRhyvurJ%2F%2BXTAjjpDZMyA%3D%3D&trackingId=ahNPBNwZyP4fP4j6Vo%2BmOA%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/atech-grupoembraer?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-033 Analista de Soluções Tecnológicas I / II (IPMS),ATECH – NEGÓCIOS EM TECNOLOGIAS S/A,"São Paulo, SP",Há 2 semanas,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/engenheiro-a-de-dados-at-qsoft-3625428111?refId=owRhyvurJ%2F%2BXTAjjpDZMyA%3D%3D&trackingId=Nz%2FwZigt6PIIKYdFJ0LQfQ%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card,https://br.linkedin.com/company/qsoftconsultoria?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro(a) de Dados,QSOFT,"São Paulo, SP",Há 23 horas,Seja um dos primeiros a se candidatar
https://br.linkedin.com/jobs/view/engenheiro-de-dados-at-ey-3620814866?refId=owRhyvurJ%2F%2BXTAjjpDZMyA%3D%3D&trackingId=iWGFiUVCjTmNpAKjQKjLGw%3D%3D&position=3&pageNum=10&trk=public_jobs_jserp-result_search-card,https://uk.linkedin.com/company/ernstandyoung?trk=public_jobs_jserp-result_job-search-card-subtitle,Engenheiro de Dados,EY,"São Paulo, SP",Há 22 horas,Seja um dos primeiros a se candidatar
